query_id,neighbor_id,rank,similarity,form_match,dim_sim,cat_sim,mech_sim,coat_match,finish_match,surface_type_match,yield_sim,tensile_sim
8aff426d-b8c0-43aa-ad26-835ef4de6129,7d1ab305-7fc6-4ab0-bc2a-9ae1e038e67e,1,0.9306159420289855,1.0,0.9945652173913043,0.6666666666666666,1.0,1.0,0.0,1.0,1.0,1.0
8aff426d-b8c0-43aa-ad26-835ef4de6129,2624655e-ea07-468a-8da8-2e39c9d1e7f0,2,0.7160660436461694,1.0,0.4945652173913043,1.0,0.8959447831683909,1.0,1.0,1.0,1.0,0.7918895663367816
8aff426d-b8c0-43aa-ad26-835ef4de6129,2e56f82b-a80d-4704-83a5-14a52a117b65,3,0.6666666666666666,1.0,,0.6666666666666666,,1.0,0.0,1.0,,
b8257184-6307-46ab-b06e-d979336d1263,5ad0afbf-dc39-4adb-bbd5-c18012316bb5,1,0.7547933922485834,1.0,,0.6666666666666666,0.813544542636528,1.0,0.0,1.0,1.0,0.6270890852730561
b8257184-6307-46ab-b06e-d979336d1263,0dcb40f1-38f9-44d1-a023-99d80f143a79,2,0.7333333333333333,1.0,,0.3333333333333333,1.0,0.0,0.0,1.0,1.0,1.0
b8257184-6307-46ab-b06e-d979336d1263,0810e19e-0170-4a1e-930b-f5830e698dce,3,0.7333333333333333,1.0,,0.3333333333333333,1.0,0.0,0.0,1.0,1.0,1.0
84be5122-71d5-4a35-a912-fd2911e3c64f,02647f9b-5108-4955-938f-e6b003b62690,1,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,
84be5122-71d5-4a35-a912-fd2911e3c64f,2e56f82b-a80d-4704-83a5-14a52a117b65,2,1.0,1.0,,1.0,,1.0,1.0,1.0,,
84be5122-71d5-4a35-a912-fd2911e3c64f,81c9dcd6-b91d-4a3c-a6a8-5a72d0a7d68c,3,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,
0f595b0b-2253-4585-a672-fda592da7191,b954d3d2-f2d8-4b11-955e-31c7839517f5,1,0.9333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,0.0,1.0,1.0,1.0
0f595b0b-2253-4585-a672-fda592da7191,84be5122-71d5-4a35-a912-fd2911e3c64f,2,0.9333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,0.0,1.0,1.0,1.0
0f595b0b-2253-4585-a672-fda592da7191,02647f9b-5108-4955-938f-e6b003b62690,3,0.9047619047619048,1.0,1.0,0.6666666666666666,,1.0,0.0,1.0,,
920dcf5c-136f-4ffc-9449-03f00c1b5a46,dff7cdb0-f464-4b60-91ce-8d628f8ed4de,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
920dcf5c-136f-4ffc-9449-03f00c1b5a46,54439e37-9ca6-476c-825a-0304a9dfcb26,2,0.9333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,1.0
920dcf5c-136f-4ffc-9449-03f00c1b5a46,22b45745-bf1f-42af-acbc-be82422b8c6b,3,0.75,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
